Actual,predict
1729.81,1756.676066
1708.25,1730.98177
1854.02,1896.506561
1413.29,1672.14154
1756.71,1771.804669
1782.15,1916.216957
1884.15,1897.358543
1915.91,1993.028543
1660.66,1733.364411
1715.34,1708.265884
1797.54,1889.323906
1798.33,1908.327773
1477.96,1507.773922
1507.87,1412.744134
1700.41,1742.00444
1848.73,1951.192808
1790.37,1890.828338
1260.03,1415.104443
647.4,738.0036558
1484.52,1557.495119
1737.01,1734.468016
1487.33,1592.815571
1509.57,1720.224601
1522.6,1581.574316
1200.36,1268.045254
1967.47,2052.026306
1766.92,1774.096317
892.65,942.5106714
743.48,857.9024814
1465.52,1471.960133
1363.54,1397.638029
1487.35,1479.921636
1171.48,1193.683888
1352.32,1424.65388
1243.51,1374.144971
1219.21,1274.073159
1615.07,1643.582607
1487,1425.607303
1650.87,1734.075746
1760.64,1741.973095
1586.43,1614.219134
1362.72,1361.929595
1280.52,1288.172649
1419.03,1389.826777
1182.98,1273.855367
1604.6,1679.424035
1482.68,1474.616409
1511.47,1392.742067
1159.76,1194.518986
1327.08,1318.271386
1582.63,1609.280123
1451.73,1372.578479
1363.41,1349.688571
1487.44,1453.547892
866.43,911.328233
1334.62,1287.555775
1284.47,1342.318128
1182.77,1140.694855
876.25,910.4300029
1384.23,1394.677072
1417.97,1435.962197
1637.11,1727.124028
1570.03,1521.602726
1619.62,1418.671669
1592.24,1583.730547
1333.14,1290.962687
779.91,837.4566387
1110.34,1209.41458
1457.45,1502.84995
1575.27,1473.371211
1680.81,1579.78277
1263.49,1171.622606
1270.1,1221.342595
1037.84,1097.974033
1300.92,1228.326445
1610.01,1633.646593
1527.87,1484.610537
1581.61,1490.782593
1541.74,1447.443434
1698.35,1759.759923
1496.73,1420.196013
752.51,831.6099606
1249.65,1272.208607
1542.7,1489.174061
1677.86,1517.010891
1219.04,1217.578228
1875.75,1855.965873
1428.79,1381.685684
1599.08,1516.264184
1409.21,1363.502787
1478.52,1410.11653
1660.75,1591.38024
1596.92,1637.987211
914.41,1045.1139
1389.64,1406.374844
1153.29,1201.834889
1197.8,1215.990663
1220.06,1193.062501
1668.63,1646.928426
1719.42,1772.403174
1738.5,1677.268487
1598.01,1615.466669
1147.45,1165.714758
1509.59,1547.30319
1719.74,1637.055213
1297.97,1411.336148
1712.32,1697.526864
1575.06,1568.143135
1607.22,1500.943522
993.68,1102.554467
1011.07,1044.181439
1439.35,1334.233256
875.83,962.890544
1779.26,1747.229632
1266.42,1229.263528
649.73,744.0548639
1475.01,1497.195129
1089.12,1135.05794
1567.74,1573.62085
1555.97,1517.050614
1280.5,1265.915735
1419.48,1432.866585
1423.76,1378.095063
1831.51,1906.225334
1730.77,1796.433723
1723.66,1862.052008
1467.57,1497.519582
1618.33,1568.591658
1474.87,1541.27274
1575.31,1619.153559
1153.44,1233.743246
1206.42,1200.905555
879.3,933.8813329
148.42,340.7894436
897.72,934.8465239
628.62,716.3352808
1092.26,1070.723329
1173.17,1197.19055
923.19,971.0159258
968.78,1015.949714
740.38,812.4344969
1319.71,1252.121359
1171.82,1205.980174
1687.82,1713.918421
1327.59,1344.678095
1115.78,1212.091422
1768.11,1748.78914
1413.07,1418.969276
1512.75,1555.628465
1512.95,1455.444342
752.32,820.9540657
984,1011.03476
1028.49,1034.201013
773.65,824.0387164
1320.03,1299.69619
1518.08,1543.55705
1426.96,1457.545958
1623.78,1616.107542
963.4,969.0782654
1160.44,1146.936149
1373.8,1334.399495
907.4,924.1602931
1262.56,1256.137243
1767.99,1724.146079
918.32,965.0626382
1706.2,1580.584572
1544.66,1636.314767
1602.58,1628.05923
1434.51,1486.489183
1338.04,1453.377078
1585.88,1568.876731
1063.09,1220.483003
1139.48,1178.39972
1254.07,1303.83284
1533.41,1549.920811
1386.22,1477.565883
1480.07,1453.058315
1609.68,1592.768251
1294.42,1249.871383
597.83,708.6984531
1040.32,1083.19028
581.88,666.4993122
865.96,866.354908
572.09,678.9564569
645.32,728.4038126
777.02,797.7657608
749.41,820.3994355
1177.53,1204.691777
1147.61,1167.796018
1178.68,1291.317221
1245.44,1365.470795
1162.52,1183.338804
1331.87,1385.940249
1340.21,1270.572909
1471.78,1553.715013
1288.16,1297.973264
1060.47,1193.551361
1488.99,1360.745608
1104.24,1103.731361
1372.82,1351.964193
971.37,1058.956032
1107.56,1148.214566
1192.06,1215.185214
1194.9,1183.594658
1485.26,1479.624266
1372.14,1340.752263
898.83,912.4916595
1565.54,1485.146244
1634.57,1548.290294
1625.98,1590.529853
1348.97,1289.722398
951.04,974.875147
1600.92,1470.191969
1351.31,1374.348382
1395.35,1398.86839
717.04,453.643444
1041.86,1047.974219
1461.83,1346.48124
1577.76,1513.436467
1650.23,1604.887072
991.27,1034.396927
1070.73,1067.932234
758.25,827.0688095
1145.18,1083.33516
892.59,950.5028675
1131.11,1110.990891
1079.52,1209.591282
1497.8,1490.166251
840.6,875.2753882
843.44,840.9895741
1041.79,1048.263706
892.78,890.0117557
1097.64,1061.817809
784.73,768.4890413
951.9,920.5259496
1290.15,1152.276105
1593.46,1561.128984
1296.68,1269.733607
1259.81,1213.482676
1163.86,1245.677725
492.17,534.6013279
887.39,927.0524586
619.59,715.4154954
1139.44,1142.822876
1312.17,1285.202677
1418.64,1457.607994
1420.71,1404.428467
1428.07,1374.051266
1595.44,1567.296457
1049,1058.940647
1482.09,1465.958966
1287.68,1300.193554
1505.32,1454.30934
1503.45,1477.647011
1574.88,1485.794134
1524.05,1440.674378
1286.24,1409.396621
1567.42,1453.349895
964.9,952.4435328
1394.07,1404.778418
1127.77,1116.607294
1607.11,1548.774797
1524.31,1397.87112
1374.05,1414.49959
1179.83,1191.655461
1177.81,1171.261227
1502.91,1447.556202
1107.9,1106.888955
1536.3,1575.509342
1397.19,1259.174871
1490.52,1467.683951
1513.13,1488.249173
1470.55,1370.825391
1225.52,1201.16435
1353.74,1340.990567
1492.11,1474.40582
1531.5,1516.301685
1482.15,1472.07229
1480.8,1481.359521
1567.62,1556.970821
1704.23,1677.18061
1571.08,1510.704969
1444.02,1391.510826
1566.56,1555.604963
1637.03,1608.969515
1530.06,1478.363095
1622.27,1553.909668
1515.43,1405.959184
1587.65,1559.668532
1519.28,1513.356522
1561.38,1622.154851
1537.27,1606.423254
1693.87,1704.262254
1656.34,1648.050617
1148.17,1179.32166
867.85,970.1049933
794.79,868.9611099
1674.69,1715.534755
1089.49,1134.658049
1585.36,1651.027816
1700.44,1751.887212
1675.49,1621.553062
1782.58,1802.81166
1167.1,1212.726282
1601.65,1659.215638
1006.68,1035.612807
976.17,1019.929089
1784.57,1646.86659
1768.73,1765.919778
1763.96,1740.610379
1594.9,1641.540134
1372.58,1307.713344
1762.48,1705.036389
1795.43,1755.034371
1660.58,1591.485859
1495.87,1562.193372
1809.19,1809.618773
1839.1,1839.357328
1532.16,1488.269815
1798.67,1765.722702
1821.91,1817.698805
1778.65,1805.221244
1638.87,1683.993865
1592.07,1624.926118
1800.65,1815.188139
1794.49,1704.494492
1876.44,1906.578532
1737.49,1880.896018
1807.14,1719.442762
1787.71,1777.034252
1777.28,1789.327907
1740.21,1765.765079
1710.15,1761.960528
1866.82,1812.78003
1849.19,1849.002742
1762.03,1796.472782
1817.37,1857.785409
1746.53,1760.001761
1825.12,1791.463232
1888.46,1931.663081
1779.27,1856.578296
1597.55,1641.546512
1594.8,1648.555765
1835.94,1853.602099
1785.03,1904.892237
1717.32,1708.810711
1589.81,1621.037052
1749.91,1775.340892
1559.47,1611.969584
1855.73,1866.571298
1828.26,1839.354193
1572.74,1672.728077
1644.42,1645.245968
1303.01,1424.400313
1661.13,1768.366511
1798.13,1856.422447
1686.44,1808.405302
1284.78,1421.28517
1499.45,1596.654219
1132.6,1173.337237
1709.99,1588.836332
1594.05,1604.229176
1929.3,1848.585694
1930.79,1835.9107
1902.7,1905.172699
1434.75,1445.595796
1490.58,1492.256276
1450.11,1430.558927
1047.68,1045.826716
427.12,573.9175271
1020.72,1042.689171
806.4,879.3272621
1309.66,1263.897376
1779.98,1674.26901
1787.18,1708.25241
1742.51,1659.03402
1743.34,1699.249368
1764.15,1758.668832
1749.52,1657.807192
1292.95,1330.064666
1512.13,1552.577423
1211.69,1248.951311
1246.71,1233.347858
908.65,959.0554825
1280.36,1358.339869
1417.24,1498.806593
1151.56,1069.350788
1592.16,1567.212375
1233.28,1210.251833
1525.49,1526.504638
1526.84,1515.56251
1289.95,1258.67815
1525.97,1517.592539
984.17,1119.685227
1466.92,1428.981765
941.13,964.6935816
1863.56,1797.657745
1052.06,1027.123066
1386.33,1368.205047
1182.97,1256.584075
1759.51,1683.915204
1009.67,1038.016472
1250.06,1231.664888
1602.92,1421.805837
1261.76,1252.188435
1470.75,1467.730313
1379.27,1304.601176
1576.26,1475.471863
1221.55,1144.161892
1662.47,1513.7272
1585.78,1423.332863
1284.26,1239.855269
1110.25,1101.21493
1520.43,1409.911717
1336.64,1279.586392
1357.7,1342.389511
1673.03,1642.283926
1500.53,1394.888644
1202.45,1218.501745
1570.72,1477.109496
1789.83,1683.956496
1373.48,1398.244471
995.89,1013.032415
1410.87,1368.690859
971.75,944.0268204
1028.11,1010.128608
1384.29,1290.734488
1368.89,1358.697957
1123.43,1055.457533
1285.78,1236.469709
588.83,659.5969253
1242.4,1219.105425
1508.2,1483.357639
955.5,968.6304783
1531.45,1469.772203
1251.89,1240.413352
1120.37,1103.572935
1380.3,1290.759432
1339.61,1227.170928
1169.85,1120.917344
1659.66,1432.740917
1399.16,1329.021017
1405.53,1316.365527
1548.67,1464.159263
1492.8,1393.947619
1442.25,1509.886714
1407.75,1329.997674
1293.36,1224.013391
1595.11,1559.194864
1507.18,1445.926467
1043.84,1071.596819
1544.65,1490.401831
1484.68,1479.684045
1200.17,1214.729564
1298.65,1228.870143
1486.24,1396.600697
643.67,709.9310127
641.64,740.8160054
1351.36,1191.791944
807.27,852.359081
1183.11,1126.235688
913.79,928.2281172
1414.26,1319.563791
1419.49,1299.908977
995.99,1021.824106
1230.98,1141.018139
1263.25,1205.900975
1637.87,1554.861449
1163,1105.443851
1551.49,1545.070664
1758.83,1767.411849
1757.47,1640.482563
1618.83,1606.279249
1647.1,1541.152259
1609.24,1629.243049
1552.87,1518.316946
1632.5,1760.056169
1694.96,1712.396495
1308.1,1349.557904
1735.35,1778.934693
1634.99,1786.182867
1368.39,1394.777696
1729.17,1732.236301
1705.12,1684.020617
1615.66,1678.206335
1505.62,1513.933991
1046.06,1081.308188
1485.83,1516.645909
1584.29,1641.769376
1517.88,1486.570009
1489.09,1524.15129
1375.86,1399.368356
1605.36,1593.777238
1664.56,1643.831252
1486.5,1542.371435
1425.41,1388.70722
1696.33,1710.860694
1230.48,1198.189903
1100.71,1123.483693
1122.36,1065.487973
1339.51,1222.575659
751.69,801.7141331
796.7,843.9007515
1260.25,1241.11866
1517.01,1497.3328
1353.73,1304.264509
990.81,1003.363734
1360.94,1365.048548
1467.48,1432.525457
921.72,977.1497425
1150.8,1206.076496
1767.63,1713.616612
1079.72,1102.044933
1404.09,1339.61095
1051.73,1057.073812
1683.85,1614.540499
1540.24,1506.428839
1050.67,1047.909307
926.18,896.4537061
1305.48,1265.497931
1021.08,1079.472982
1030.93,216.429557
855.56,884.6656876
1113.4,1095.769701
961.72,973.9615347
978.12,968.145898
1068.72,1050.547865
1030.41,1012.061638
844.16,913.8016088
772.31,839.5105962
1368.31,1238.85718
1429.09,1303.734844
1092.06,1145.969318
926.5,930.2049264
1031.98,1035.034042
1202.33,1160.807612
1043.11,999.4711597
